,time,area_id,lng,lat
0,01/01/2021 01:00:00 AM,69,-87.62159508,41.76110816
1,01/01/2021 01:00:00 AM,51,-87.56077238,41.70003037
2,01/01/2021 01:00:00 AM,29,-87.71881285,41.85596831
3,01/01/2021 01:00:00 AM,8,-87.62272582,41.8936523
4,01/01/2021 01:00:00 AM,35,-87.6268586,41.84122697
5,01/01/2021 01:00:00 AM,30,-87.7121687,41.83777377
6,01/01/2021 01:00:00 AM,65,-87.73626869,41.78115255
7,01/01/2021 01:00:00 AM,30,-87.71364523,41.84714518
8,01/01/2021 01:00:00 AM,69,-87.6114086,41.75593198
9,01/01/2021 01:00:00 AM,25,-87.7459875,41.90364913
10,01/01/2021 01:00:00 AM,71,-87.66552821,41.73697778
11,01/01/2021 01:00:00 AM,68,-87.62929459,41.77999793
12,01/01/2021 01:00:00 AM,61,-87.64867709,41.80427028
