,Unnamed: 0,start_time,end_time,start_area_id,end_area_id,start_lng,start_lat,end_lng,end_lat,start_poi_id,end_poi_id
0,11998271,2019/4/16 13:15,2019/4/16 13:21,32,32,-87.627844,41.877181,-87.63188991,41.88457623,985,985
1,11999057,2019/4/16 8:49,2019/4/16 8:53,28,28,-87.662007,41.877945,-87.661206,41.88283,742,742
2,11999895,2019/4/17 7:19,2019/4/17 7:28,8,8,-87.626217,41.906866,-87.642884,41.897764,4077,4077
3,12024425,2019/4/16 13:03,2019/4/16 13:20,24,8,-87.664169,41.912919,-87.64942193,41.91057804,411184,4077
4,12029847,2019/4/16 11:19,2019/4/16 11:28,31,28,-87.656495,41.858166,-87.65478743,41.87772613,620321,742
5,12029985,2019/4/16 13:49,2019/4/16 14:09,4,22,-87.679028,41.967094,-87.677335,41.915983,436583,48992
6,12030095,2019/4/16 10:21,2019/4/16 10:28,32,8,-87.617532,41.890359,-87.62377664,41.90096039,985,4077
7,12030696,2019/4/16 17:19,2019/4/16 17:35,28,24,-87.64117,41.88338,-87.672552,41.907655,742,411184
8,12032319,2019/4/16 14:16,2019/4/16 14:23,7,6,-87.638973,41.925858,-87.644095,41.937725,763,727
9,12043417,2019/4/16 8:01,2019/4/16 8:07,28,32,-87.641066,41.882242,-87.63058454,41.87593267,742,985
10,12148869,2019/4/15 12:56,2019/4/15 13:01,32,32,-87.63087606,41.88602083,-87.62979104,41.87935636,985,985
