,start_time,end_time,start_area_id,end_area_id,start_lng,start_lat,end_lng,end_lat
4042091,2019/4/1 0:00,2019/4/1 0:00,6,6,-87.65599818,41.9442266,-87.65599818,41.9442266
4042092,2019/4/1 0:00,2019/4/1 0:15,32,3,-87.62519214,41.87886558,-87.65587879,41.96581197
4042093,2019/4/1 0:00,2019/4/1 0:00,56,56,-87.76961545,41.79259236,-87.76961545,41.79259236
4042094,2019/4/1 0:00,2019/4/1 0:15,28,6,-87.66351755,41.87400538,-87.65599818,41.9442266
4042095,2019/4/1 0:00,2019/4/1 0:00,8,8,-87.63186395,41.89204214,-87.63784421,41.89321636
4042098,2019/4/1 0:00,2019/4/1 0:30,76,6,-87.9136246,41.98026432,-87.65599818,41.9442266
4042099,2019/4/1 0:00,2019/4/1 0:15,28,76,-87.642649,41.87925508,-87.8773054,41.98277501
4042100,2019/4/1 0:00,2019/4/1 0:00,76,76,-87.9136246,41.98026432,-87.9136246,41.98026432
4042101,2019/4/1 0:00,2019/4/1 0:30,76,8,-87.90303966,41.97907082,-87.62621491,41.89250778
4042102,2019/4/1 0:00,2019/4/1 0:00,28,32,-87.66351755,41.87400538,-87.62519214,41.87886558
