node_id,osm_node_id,osm_highway,lat,lng
5,4070185563,crossing,-87.6392904,41.9326735
149,929515145,crossing,-87.6382443,41.8780693
271,1642947516,crossing,-87.6239267,41.8641268
282,707902604,crossing,-87.6443355,41.8889438
455,6683480323,crossing,-87.5245433,41.6991384
456,4151715997,crossing,-87.5245395,41.6918
1332,5690511820,crossing,-87.9222049,41.8725438
2427,6131658790,crossing,-87.6391297,41.8697616
2481,7874586664,crossing,-87.6459923,41.9696404
2554,257155186,crossing,-87.6647302,41.9753586
